SRS,Rate,Rate_UL,DD,DD_Range1,DD_Range2,REF
0,0.001265,0.001265,4.00E+12,2.00E+12,6.00E+12,0
0.01084473,0.01324616,0.01324616,4.00E+12,2.00E+12,6.00E+12,0
0.02499148,0.28664212,0.28664212,4.00E+12,2.00E+12,6.00E+12,0
0.01206318,4.89869048,4.89869048,4.00E+12,2.00E+12,6.00E+12,0
0.07853202,31.250718,31.250718,4.00E+12,2.00E+12,6.00E+12,0
0.29756804,375.379023,375.379023,4.00E+12,2.00E+12,6.00E+12,0
1.04466701,2755.71944,2755.71944,4.00E+12,2.00E+12,6.00E+12,0
0.78960066,5499.07952,5499.07952,4.00E+12,2.00E+12,6.00E+12,0
0.04519363,0.00014046,0.000503733,4.40E+12,4.40E+12,4.40E+12,1
0.03758901,0.00014418,0.00052,6.10E+12,6.10E+12,6.10E+12,1
0.03155894,0.00014986,0.00052,8.80E+12,8.00E+12,9.60E+12,1
0.03017794,0.00014476,0.00052,1.21E+13,1.00E+13,1.42E+13,1
0.03232421,0.00014496,0.00052,1.88E+13,1.88E+13,1.88E+13,1
0.22759247,975.101894,1115.32131,4.78E+13,4.78E+13,4.78E+13,1
0.2297,296489.564,1126574.716,4.59E+15,3.14E+15,6.04E+15,2
0.31462416,3.78E+04,3.89E+04,2.88E+15,2.36E+15,3.40E+15,3
0.11120677,1.91E+04,2.34E+04,2.88E+15,2.36E+15,3.40E+15,3
0.26774891,2.71E+04,3.14E+04,2.88E+15,2.36E+15,3.40E+15,3
0.47317286,3.40E+04,3.68E+04,2.88E+15,2.36E+15,3.40E+15,3
0.056414,2.00E-03,2.00E-03,3.79E+15,2.80E+15,4.78E+15,4
0.042657,2.00E-03,2.00E-03,3.05E+14,1.36E+14,4.73E+14,4
0.027484,2.00E-03,2.00E-03,1.35E+14,3.40E+13,2.36E+14,4
0.023442,2.00E-03,2.00E-03,6.38E+13,8.63E+12,1.19E+14,4
0.01807,2.00E-03,2.00E-03,8.00E+12,1.53E+11,1.58E+13,4
0.061889,2.00E+03,2.00E+03,3.79E+15,2.80E+15,4.78E+15,4
0.10762,2.00E+03,2.00E+03,3.05E+14,1.36E+14,4.73E+14,4
0.123833,2.00E+03,2.00E+03,1.35E+14,3.40E+13,2.36E+14,4
0.129828,2.00E+03,2.00E+03,6.38E+13,8.63E+12,1.19E+14,4
0.145807,2.00E+03,2.00E+03,8.00E+12,1.53E+11,1.58E+13,4
0.33,0.192145402,0.192145402,596073754.5,596073754.5,596073754.5,5
0.33,1.879013912,1.879013912,2040328049,2040328049,2040328049,5
0.33,1.94728714,1.94728714,14431118737,14431118737,14431118737,5
0.33,19.04276446,19.04276446,1.06E+11,1.06E+11,1.06E+11,5
0.33,20.45172742,20.45172742,6.90E+11,6.90E+11,6.90E+11,5
0.33,192.9878624,192.9878624,1.84E+11,1.84E+11,1.84E+11,5
0.33,200,200,3.20E+11,3.20E+11,3.20E+11,5
0.33,1821.50344,1821.50344,1.84E+11,1.84E+11,1.84E+11,5
0.33,2100.535354,2100.535354,8.49E+11,8.49E+11,8.49E+11,5
0.33,19130.66187,19130.66187,1.60E+12,1.60E+12,1.60E+12,5
0.33,19821.20237,19821.20237,2.34E+13,2.34E+13,2.34E+13,5
0.33,200876.8992,200876.8992,3.56E+13,3.56E+13,3.56E+13,5
0.33,1964852.69,1964852.69,5.37E+15,5.37E+15,5.37E+15,5
0.33,2035776.026,2035776.026,7.28E+14,7.28E+14,7.28E+14,5
0.33,491733725.8,491733725.8,7.50E+15,7.50E+15,7.50E+15,5