time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
0,0,0,0,0,0,0,0,0,0,0,0,0
11,-4.625e-05,-4.625e-05,0.00011,0,0,6.05687e-233,0,0,7.21869,0,0,0
21,-8.82955e-05,-8.82955e-05,0.00021,0,0,-2.61464e-232,0,0,13.781,0,0,0
30,-0.000126136,-0.000126136,0.0003,0,0,3.82519e-232,0,0,19.687,0,0,0
40,-0.000168182,-0.000168182,0.0004,0,0,2.21536e-232,0,0,26.2492,0,0,0
50,-0.000210227,-0.000210227,0.0005,0,0,2.21535e-232,0,0,32.8112,0,0,0
60,-0.000252273,-0.000252273,0.0006,0,0,-4.22287e-232,0,0,39.3732,0,0,0
70,-0.000294318,-0.000294318,0.0007,0,0,-7.44174e-232,0,0,45.935,0,0,0
80,-0.000336364,-0.000336364,0.0008,0,0,-1.06603e-231,0,0,52.4967,0,0,0
90,-0.000378409,-0.000378409,0.0009,0,0,-1.22695e-231,0,0,59.0583,0,0,0
100,-0.000420455,-0.000420455,0.001,0,0,-1.06604e-231,0,0,65.6198,0,0,0
110,-0.0004625,-0.0004625,0.0011,0,0,-9.0515e-232,0,0,72.1812,0,0,0
120,-0.000504545,-0.000504545,0.0012,0,0,1.82955e-231,0,0,78.7425,0,0,0
130,-0.000546591,-0.000546591,0.0013,2.25676e-297,0,-3.85173e-180,0,0,85.3037,0,0,0
140,-0.000589637,-0.000589637,0.0014,-5.98127e-17,5.98599e-17,1.63572e-19,0,0,91.0397,0,0,0
150,-0.000639428,-0.000639428,0.0015,-1.40486e-16,-8.52877e-17,3.76725e-16,0,0,91.2115,0,0,0
160,-0.00068922,-0.00068922,0.0016,5.84495e-16,-5.30033e-16,3.41753e-16,0,0,91.3833,0,0,0
170,-0.000739014,-0.000739014,0.0017,4.64458e-16,-7.46344e-16,3.61563e-16,0,0,91.5532,0,0,0
180,-0.000788817,-0.000788817,0.0018,-1.2582e-16,-6.21241e-16,2.97956e-16,0,0,91.7161,0,0,0
190,-0.0008386,-0.0008386,0.0019,5.14233e-16,-1.14718e-15,-2.50321e-16,0,0,91.8945,0,0,0
200,-0.000888391,-0.000888391,0.002,3.71323e-16,-8.63948e-16,1.60789e-16,0,0,92.067,0,0,0
210,-0.000938182,-0.000938182,0.0021,3.92676e-16,-8.77988e-16,5.72872e-16,0,0,92.2396,0,0,0
220,-0.000987974,-0.000987974,0.0022,7.89649e-16,-2.00829e-15,9.76235e-16,0,0,92.4111,0,0,0
230,-0.00103777,-0.00103777,0.0023,8.41018e-16,-2.45103e-15,6.26665e-16,0,0,92.5793,0,0,0
240,-0.00108756,-0.00108756,0.0024,8.25238e-16,-2.30689e-15,6.2878e-16,0,0,92.7548,0,0,0
250,-0.00113735,-0.00113735,0.0025,-6.96179e-17,-2.93459e-15,2.6316e-16,0,0,92.9267,0,0,0
260,-0.00118714,-0.00118714,0.0026,-1.94787e-16,-2.9434e-15,-9.94022e-18,0,0,93.0979,0,0,0
270.667,-0.00124026,-0.00124026,0.00270667,-9.40081e-16,-3.37331e-15,-6.70297e-16,0,0,93.2768,0,0,0
280.667,-0.00129005,-0.00129005,0.00280667,-8.66634e-16,-3.73616e-15,-2.18411e-16,0,0,93.4483,0,0,0
290.667,-0.00133984,-0.00133984,0.00290667,-4.19011e-16,-3.73e-15,-5.95623e-16,0,0,93.6189,0,0,0
300.667,-0.00138964,-0.00138964,0.00300667,-1.02937e-15,-4.54079e-15,-9.25593e-16,0,0,93.79,0,0,0
310.667,-0.00143943,-0.00143943,0.00310667,-3.71e-17,-4.62432e-15,-7.08344e-16,0,0,93.9599,0,0,0
320.667,-0.00148923,-0.00148923,0.00320667,-1.76521e-16,-4.38026e-15,-1.07323e-15,0,0,94.1269,0,0,0
331,-0.0015407,-0.0015407,0.00331,-1.08577e-15,-4.75378e-15,-7.2166e-16,0,0,94.2855,0,0,0
341,-0.00159049,-0.00159049,0.00341,-9.78878e-16,-5.1889e-15,-1.01123e-15,0,0,94.4625,0,0,0
351,-0.00164028,-0.00164028,0.00351,-4.34409e-16,-4.7581e-15,-1.67242e-15,0,0,94.6341,0,0,0
361,-0.00169007,-0.00169007,0.00361,-5.72256e-16,-4.89438e-15,-2.25767e-15,0,0,94.8063,0,0,0
370.667,-0.0017382,-0.0017382,0.00370667,-1.29592e-15,-4.67662e-15,-2.24516e-15,0,0,94.9774,0,0,0
380.667,-0.00178799,-0.00178799,0.00380667,-2.36119e-15,-4.31388e-15,-1.82758e-15,0,0,95.1493,0,0,0
391,-0.00183945,-0.00183945,0.00391,-2.7077e-15,-3.97997e-15,-1.79154e-15,0,0,95.3217,0,0,0
400.132,-0.0018849,-0.0018849,0.00400132,-2.64491e-15,-3.75788e-15,-1.72224e-15,0,0,95.489,0,0,0
410.679,-0.00193742,-0.00193742,0.00410679,-3.76637e-15,-4.95779e-15,-1.84116e-15,0,0,95.6657,0,0,0
420.667,-0.00198715,-0.00198715,0.00420667,-3.97613e-15,-4.25289e-15,-1.69743e-15,0,0,95.8368,0,0,0
431,-0.00203861,-0.00203861,0.00431,-3.43659e-15,-3.27594e-15,-1.73025e-15,0,0,96.0094,0,0,0
440.132,-0.00208407,-0.00208407,0.00440132,-3.46708e-15,-3.43124e-15,-1.49504e-15,0,0,96.1765,0,0,0
451,-0.0021382,-0.0021382,0.00451,-3.39182e-15,-2.88528e-15,-1.41651e-15,0,0,96.3528,0,0,0
461,-0.00218799,-0.00218799,0.00461,-3.47317e-15,-2.78877e-15,-1.0306e-15,0,0,96.5249,0,0,0
471,-0.00223778,-0.00223778,0.00471,-3.56975e-15,-3.19864e-15,-6.61583e-16,0,0,96.6964,0,0,0
480.296,-0.00228405,-0.00228405,0.00480296,-2.67346e-15,-3.20159e-15,-6.7333e-16,0,0,96.8677,0,0,0
491,-0.00233736,-0.00233736,0.00491,-2.73552e-15,-3.40962e-15,-1.30937e-15,0,0,97.04,0,0,0
500.556,-0.00238493,-0.00238493,0.00500556,-2.52433e-15,-3.5211e-15,-2.02636e-15,0,0,97.2119,0,0,0
511,-0.00243695,-0.00243695,0.00511,-2.17679e-15,-3.69059e-15,-1.5032e-15,0,0,97.3834,0,0,0
520.667,-0.00248507,-0.00248507,0.00520667,-2.13282e-15,-3.14952e-15,-1.07071e-15,0,0,97.5552,0,0,0
530.556,-0.00253431,-0.00253431,0.00530556,-2.20675e-15,-4.08149e-15,-2.36696e-16,0,0,97.7269,0,0,0
541,-0.00258632,-0.00258632,0.00541,-2.59834e-15,-4.21297e-15,-2.7293e-16,0,0,97.8984,0,0,0
551,-0.00263611,-0.00263611,0.00551,-3.81632e-15,-4.09137e-15,-3.40373e-16,0,0,98.0703,0,0,0
561,-0.0026859,-0.0026859,0.00561,-3.12818e-15,-3.8042e-15,-6.82917e-16,0,0,98.2419,0,0,0
571,-0.0027357,-0.0027357,0.00571,-3.58135e-15,-3.68735e-15,-6.8248e-16,0,0,98.4131,0,0,0
580.556,-0.00278327,-0.00278327,0.00580556,-3.2463e-15,-3.94037e-15,-1.01636e-15,0,0,98.5848,0,0,0
590.667,-0.00283362,-0.00283362,0.00590667,-2.76367e-15,-4.0099e-15,-1.37095e-15,0,0,98.7557,0,0,0
600.667,-0.00288341,-0.00288341,0.00600667,-2.92937e-15,-3.78549e-15,-8.80199e-16,0,0,98.9272,0,0,0
611,-0.00293487,-0.00293487,0.00611,-3.00854e-15,-4.03296e-15,-9.50425e-16,0,0,99.099,0,0,0
621,-0.00298466,-0.00298466,0.00621,-3.40657e-15,-3.5642e-15,-5.64563e-16,0,0,99.2703,0,0,0
631,-0.00303445,-0.00303445,0.00631,-3.97466e-15,-3.14181e-15,-7.56655e-16,0,0,99.4416,0,0,0
641,-0.00308424,-0.00308424,0.00641,-4.38532e-15,-2.79289e-15,-1.06719e-15,0,0,99.6128,0,0,0
651,-0.00313404,-0.00313404,0.00651,-4.16924e-15,-2.1767e-15,-1.31444e-15,0,0,99.7841,0,0,0
661,-0.00318383,-0.00318383,0.00661,-4.54357e-15,-2.30004e-15,-1.75854e-15,0,0,99.9551,0,0,0
671,-0.00323362,-0.00323362,0.00671,-4.36103e-15,-1.74957e-15,-2.00745e-15,0,0,100.126,0,0,0
681,-0.00328341,-0.00328341,0.00681,-4.41834e-15,-1.08437e-15,-2.55324e-15,0,0,100.297,0,0,0
691,-0.00333321,-0.00333321,0.00691,-4.60381e-15,-1.49405e-15,-2.36909e-15,0,0,100.468,0,0,0
701,-0.003383,-0.003383,0.00701,-4.41967e-15,-1.65623e-15,-2.38711e-15,0,0,100.639,0,0,0
711,-0.00343279,-0.00343279,0.00711,-3.79049e-15,-1.91716e-15,-2.78502e-15,0,0,100.81,0,0,0
721,-0.00348258,-0.00348258,0.00721,-3.38284e-15,-1.86009e-15,-3.06e-15,0,0,100.98,0,0,0
731,-0.00353238,-0.00353238,0.00731,-3.89977e-15,-2.67854e-15,-2.28439e-15,0,0,101.149,0,0,0
740.11,-0.00357772,-0.00357772,0.0074011,-3.92896e-15,-3.36805e-15,-2.19894e-15,0,0,101.318,0,0,0
751,-0.00363197,-0.00363197,0.00751,-4.04057e-15,-2.81681e-15,-2.12598e-15,0,0,101.49,0,0,0
761,-0.00368176,-0.00368176,0.00761,-3.25607e-15,-2.47976e-15,-1.8768e-15,0,0,101.659,0,0,0
771,-0.00373156,-0.00373156,0.00771,-3.31022e-15,-2.1298e-15,-1.70901e-15,0,0,101.828,0,0,0
781,-0.00378135,-0.00378135,0.00781,-3.44399e-15,-2.12606e-15,-1.63534e-15,0,0,101.997,0,0,0
791,-0.00383115,-0.00383115,0.00791,-3.28719e-15,-1.99019e-15,-2.18033e-15,0,0,102.166,0,0,0
801,-0.00388094,-0.00388094,0.00801,-4.33023e-15,-1.42036e-15,-1.34962e-15,0,0,102.337,0,0,0
811,-0.00393073,-0.00393073,0.00811,-5.62668e-15,-1.12142e-15,-1.57013e-15,0,0,102.507,0,0,0
821,-0.00398053,-0.00398053,0.00821,-4.72848e-15,-1.40204e-15,-1.70217e-15,0,0,102.678,0,0,0
831,-0.00403032,-0.00403032,0.00831,-4.96038e-15,-1.51467e-15,-2.05239e-15,0,0,102.849,0,0,0
840.556,-0.00407789,-0.00407789,0.00840556,-4.4968e-15,-1.96403e-15,-2.33091e-15,0,0,103.019,0,0,0
850.556,-0.00412768,-0.00412768,0.00850556,-3.15715e-15,-3.15661e-15,-2.13658e-15,0,0,103.19,0,0,0
861,-0.0041797,-0.0041797,0.00861,-3.61944e-15,-2.89579e-15,-2.47259e-15,0,0,103.36,0,0,0
871,-0.00422949,-0.00422949,0.00871,-4.47915e-15,-2.39533e-15,-2.36409e-15,0,0,103.53,0,0,0
880.556,-0.00427707,-0.00427707,0.00880556,-3.81751e-15,-2.82414e-15,-2.32493e-15,0,0,103.699,0,0,0
891,-0.00432908,-0.00432908,0.00891,-5.37931e-15,-2.5617e-15,-1.77325e-15,0,0,103.869,0,0,0
900.247,-0.00437511,-0.00437511,0.00900247,-4.79079e-15,-2.54813e-15,-1.45975e-15,0,0,104.039,0,0,0
911,-0.00442867,-0.00442867,0.00911,-5.42741e-15,-2.38574e-15,-2.30058e-15,0,0,104.209,0,0,0
921,-0.00447846,-0.00447846,0.00921,-4.46036e-15,-2.18124e-15,-2.38618e-15,0,0,104.381,0,0,0
931,-0.00452826,-0.00452826,0.00931,-5.01683e-15,-1.58548e-15,-1.78811e-15,0,0,104.551,0,0,0
941,-0.00457805,-0.00457805,0.00941,-6.00877e-15,-1.24961e-15,-1.67496e-15,0,0,104.723,0,0,0
951,-0.00462785,-0.00462785,0.00951,-6.22475e-15,-1.07339e-15,-1.79254e-15,0,0,104.89,0,0,0
961,-0.00467764,-0.00467764,0.00961,-7.52828e-15,-9.11273e-16,-2.05895e-15,0,0,105.062,0,0,0
971,-0.00472742,-0.00472742,0.00971,-7.89983e-15,-1.77955e-15,-1.60975e-15,0,0,105.236,0,0,0
981,-0.00477722,-0.00477722,0.00981,-7.63816e-15,-2.1803e-15,-9.13558e-16,0,0,105.406,0,0,0
990.296,-0.0048235,-0.0048235,0.00990296,-7.30282e-15,-1.49657e-15,-6.95277e-16,0,0,105.574,0,0,0
1001,-0.00487681,-0.00487681,0.01001,-7.67865e-15,-9.31437e-16,-9.74518e-16,0,0,105.745,0,0,0
1011,-0.0049266,-0.0049266,0.01011,-6.74578e-15,-1.08647e-15,-9.80106e-16,0,0,105.914,0,0,0
1020.44,-0.00497362,-0.00497362,0.0102044,-6.98935e-15,-2.07279e-15,-1.47333e-15,0,0,106.083,0,0,0
1030.44,-0.00502342,-0.00502342,0.0103044,-7.42152e-15,-1.72184e-15,-1.17593e-15,0,0,106.252,0,0,0
1040.44,-0.00507321,-0.00507321,0.0104044,-6.74551e-15,-1.77537e-15,-1.70176e-15,0,0,106.422,0,0,0
1051,-0.00512578,-0.00512578,0.01051,-5.46577e-15,-1.99298e-15,-2.17317e-15,0,0,106.592,0,0,0
1060.44,-0.0051728,-0.0051728,0.0106044,-5.63999e-15,-2.47054e-15,-1.93625e-15,0,0,106.76,0,0,0
1071,-0.00522537,-0.00522537,0.01071,-3.55698e-15,-2.27477e-15,-1.18965e-15,0,0,106.93,0,0,0
1080.25,-0.0052714,-0.0052714,0.0108025,-3.18921e-15,-2.69438e-15,-1.66212e-15,0,0,107.099,0,0,0
1090.25,-0.0053212,-0.0053212,0.0109025,-3.4092e-15,-2.43512e-15,-1.58393e-15,0,0,107.268,0,0,0
1101,-0.00537476,-0.00537476,0.01101,-3.88614e-15,-2.17863e-15,-1.38286e-15,0,0,107.437,0,0,0
1110.26,-0.00542084,-0.00542084,0.0111026,-4.18549e-15,-2.11981e-15,-1.83729e-15,0,0,107.606,0,0,0
1121,-0.00547435,-0.00547435,0.01121,-3.50617e-15,-1.99471e-15,-2.14043e-15,0,0,107.774,0,0,0
1130.56,-0.00552192,-0.00552192,0.0113056,-3.56167e-15,-2.30986e-15,-2.42765e-15,0,0,107.943,0,0,0
1141,-0.00557394,-0.00557394,0.01141,-3.40966e-15,-1.84929e-15,-1.6314e-15,0,0,108.11,0,0,0
1151,-0.00562374,-0.00562374,0.01151,-2.54117e-15,-1.2101e-15,-1.315e-15,0,0,108.277,0,0,0
1161,-0.00567353,-0.00567353,0.01161,-3.63843e-15,-3.7222e-16,-1.46062e-15,0,0,108.446,0,0,0
1170.44,-0.00572055,-0.00572055,0.0117044,-4.52235e-15,1.56489e-16,-1.26926e-15,0,0,108.614,0,0,0
1181,-0.00577312,-0.00577312,0.01181,-4.86631e-15,-2.7846e-16,-6.78827e-16,0,0,108.784,0,0,0
1191,-0.00582292,-0.00582292,0.01191,-4.00975e-15,1.65823e-16,-4.4527e-16,0,0,108.954,0,0,0
1201,-0.00587271,-0.00587271,0.01201,-3.98737e-15,-2.11147e-16,-3.07226e-16,0,0,109.122,0,0,0
1211,-0.00592251,-0.00592251,0.01211,-4.10103e-15,1.63943e-16,-4.71352e-17,0,0,109.291,0,0,0
1221,-0.00597231,-0.00597231,0.01221,-4.30856e-15,1.01385e-15,-7.14049e-16,0,0,109.459,0,0,0
1231,-0.0060221,-0.0060221,0.01231,-4.20108e-15,7.28516e-16,-4.61472e-16,0,0,109.627,0,0,0
1241,-0.0060719,-0.0060719,0.01241,-4.31673e-15,1.02915e-15,-5.88754e-16,0,0,109.795,0,0,0
1251,-0.00612169,-0.00612169,0.01251,-4.65603e-15,1.71897e-15,-3.93559e-16,0,0,109.963,0,0,0
1261,-0.00617149,-0.00617149,0.01261,-4.9156e-15,2.68626e-15,1.96444e-16,0,0,110.131,0,0,0
1271,-0.00622129,-0.00622129,0.01271,-4.2796e-15,2.67025e-15,-9.8499e-16,0,0,110.298,0,0,0
1281,-0.00627108,-0.00627108,0.01281,-4.22808e-15,3.50093e-15,-1.46545e-15,0,0,110.466,0,0,0
1291,-0.00632088,-0.00632088,0.01291,-3.97307e-15,4.279e-15,-1.29558e-15,0,0,110.633,0,0,0
1301,-0.00637068,-0.00637068,0.01301,-4.78515e-15,4.324e-15,-1.31886e-15,0,0,110.801,0,0,0
1311,-0.00642047,-0.00642047,0.01311,-5.3503e-15,3.53885e-15,-1.84384e-15,0,0,110.968,0,0,0
1321,-0.00647027,-0.00647027,0.01321,-6.42217e-15,3.35128e-15,-2.27717e-15,0,0,111.136,0,0,0
1330.44,-0.00651729,-0.00651729,0.0133044,-7.35882e-15,2.97375e-15,-2.19535e-15,0,0,111.302,0,0,0
1341,-0.00656987,-0.00656987,0.01341,-8.60066e-15,3.12717e-15,-1.88257e-15,0,0,111.47,0,0,0
1351,-0.00661966,-0.00661966,0.01351,-9.17336e-15,3.145e-15,-1.54178e-15,0,0,111.637,0,0,0
1360.44,-0.00666668,-0.00666668,0.0136044,-8.65288e-15,3.13376e-15,-1.2815e-15,0,0,111.803,0,0,0
1371,-0.00671926,-0.00671926,0.01371,-9.06675e-15,3.61473e-15,-8.72243e-16,0,0,111.971,0,0,0
1380.44,-0.00676628,-0.00676628,0.0138044,-9.34508e-15,5.01577e-15,1.11372e-16,0,0,112.137,0,0,0
1390.56,-0.00681663,-0.00681663,0.0139056,-9.86732e-15,5.25596e-15,2.3586e-16,0,0,112.305,0,0,0
1401,-0.00686865,-0.00686865,0.01401,-1.05403e-14,5.41393e-15,4.611e-16,0,0,112.472,0,0,0
1411,-0.00691845,-0.00691845,0.01411,-1.05773e-14,5.25138e-15,7.34498e-16,0,0,112.638,0,0,0
1421,-0.00696825,-0.00696825,0.01421,-1.04716e-14,4.57442e-15,1.12866e-15,0,0,112.804,0,0,0
1430.67,-0.00701638,-0.00701638,0.0143067,-1.10626e-14,3.95694e-15,1.28296e-15,0,0,112.97,0,0,0
1441,-0.00706785,-0.00706785,0.01441,-9.99534e-15,3.61069e-15,1.64388e-15,0,0,113.137,0,0,0
1451,-0.00711764,-0.00711764,0.01451,-1.04408e-14,2.90566e-15,3.15958e-16,0,0,113.303,0,0,0
1460.37,-0.00716429,-0.00716429,0.0146037,-1.14474e-14,3.08855e-15,-8.8894e-17,0,0,113.47,0,0,0
1470.56,-0.00721502,-0.00721502,0.0147056,-1.22438e-14,3.40074e-15,2.82128e-16,0,0,113.636,0,0,0
1480.8,-0.00726605,-0.00726605,0.014808,-1.2381e-14,3.01688e-15,1.46324e-16,0,0,113.802,0,0,0
1491,-0.00731684,-0.00731684,0.01491,-1.23181e-14,2.73118e-15,6.02419e-16,0,0,113.968,0,0,0
1500.67,-0.00736497,-0.00736497,0.0150067,-1.27443e-14,2.73401e-15,2.21159e-16,0,0,114.134,0,0,0
1511,-0.00741644,-0.00741644,0.01511,-1.23263e-14,2.65971e-15,-9.30012e-17,0,0,114.3,0,0,0
1520.44,-0.00746346,-0.00746346,0.0152044,-1.16618e-14,2.26203e-15,1.14595e-15,0,0,114.465,0,0,0
1530.44,-0.00751326,-0.00751326,0.0153044,-1.19036e-14,1.76045e-15,1.43132e-15,0,0,114.63,0,0,0
1541,-0.00756583,-0.00756583,0.01541,-1.30897e-14,1.85238e-15,1.31888e-15,0,0,114.796,0,0,0
1550.8,-0.00761465,-0.00761465,0.015508,-1.32405e-14,1.50286e-15,9.18133e-16,0,0,114.962,0,0,0
1561,-0.00766543,-0.00766543,0.01561,-1.30226e-14,1.50334e-15,8.9337e-16,0,0,115.127,0,0,0
1571,-0.00771523,-0.00771523,0.01571,-1.26e-14,1.42062e-15,1.02166e-15,0,0,115.292,0,0,0
1581,-0.00776503,-0.00776503,0.01581,-1.30422e-14,1.16433e-15,9.77592e-16,0,0,115.457,0,0,0
1591,-0.00781483,-0.00781483,0.01591,-1.28144e-14,6.66429e-16,1.0327e-15,0,0,115.623,0,0,0
1600.67,-0.00786297,-0.00786297,0.0160067,-1.22722e-14,2.95132e-16,1.78123e-15,0,0,115.787,0,0,0
1611,-0.00791443,-0.00791443,0.01611,-1.22091e-14,-6.02815e-16,1.58892e-15,0,0,115.953,0,0,0
1621,-0.00796423,-0.00796423,0.01621,-1.26735e-14,-2.71253e-16,1.57951e-15,0,0,116.118,0,0,0
1631,-0.00801403,-0.00801403,0.01631,-1.36255e-14,6.46585e-17,1.76677e-15,0,0,116.283,0,0,0
1641,-0.00806384,-0.00806383,0.01641,-1.37386e-14,2.52086e-17,1.46641e-15,0,0,116.445,0,0,0
1651,-0.00811364,-0.00811364,0.01651,-1.38669e-14,-3.24651e-16,1.35963e-15,0,0,116.609,0,0,0
1661,-0.00816344,-0.00816344,0.01661,-1.35273e-14,-4.71369e-16,1.75473e-15,0,0,116.774,0,0,0
1671,-0.00821324,-0.00821324,0.01671,-1.45306e-14,-1.01812e-15,2.17638e-15,0,0,116.938,0,0,0
1681,-0.00826304,-0.00826304,0.01681,-1.35734e-14,-8.95767e-16,1.85391e-15,0,0,117.103,0,0,0
1691,-0.00831284,-0.00831284,0.01691,-1.28281e-14,-1.50956e-15,1.43846e-15,0,0,117.267,0,0,0
1701,-0.00836264,-0.00836264,0.01701,-1.29681e-14,-1.53679e-15,2.16352e-15,0,0,117.431,0,0,0
1710.67,-0.00841078,-0.00841078,0.0171067,-1.27804e-14,-1.65689e-15,2.45083e-15,0,0,117.593,0,0,0
1721,-0.00846224,-0.00846224,0.01721,-1.3261e-14,-1.85301e-15,2.77677e-15,0,0,117.759,0,0,0
1731,-0.00851204,-0.00851204,0.01731,-1.33328e-14,-2.06283e-15,2.77519e-15,0,0,117.923,0,0,0
1741,-0.00856184,-0.00856184,0.01741,-1.26378e-14,-1.86628e-15,3.04713e-15,0,0,118.087,0,0,0
1751,-0.00861165,-0.00861165,0.01751,-1.19083e-14,-1.77551e-15,3.35333e-15,0,0,118.25,0,0,0
1761,-0.00866145,-0.00866145,0.01761,-1.17538e-14,-1.89217e-15,2.44054e-15,0,0,118.414,0,0,0
1771,-0.00871125,-0.00871125,0.01771,-1.06837e-14,-2.1223e-15,2.73201e-15,0,0,118.577,0,0,0
1781,-0.00876105,-0.00876105,0.01781,-1.05755e-14,-2.30393e-15,3.67337e-15,0,0,118.74,0,0,0
1791,-0.00881085,-0.00881085,0.01791,-1.02115e-14,-2.43045e-15,3.37217e-15,0,0,118.904,0,0,0
1801,-0.00886066,-0.00886065,0.01801,-1.02643e-14,-2.82325e-15,3.86904e-15,0,0,119.067,0,0,0
1811,-0.00891046,-0.00891046,0.01811,-1.02973e-14,-2.77555e-15,3.63484e-15,0,0,119.231,0,0,0
1821,-0.00896026,-0.00896026,0.01821,-9.84734e-15,-2.81241e-15,3.55655e-15,0,0,119.394,0,0,0
1831,-0.00901006,-0.00901006,0.01831,-1.03022e-14,-2.51879e-15,3.3496e-15,0,0,119.557,0,0,0
1841,-0.00905987,-0.00905986,0.01841,-1.06339e-14,-2.43982e-15,3.32661e-15,0,0,119.719,0,0,0
1851,-0.00910967,-0.00910967,0.01851,-1.06718e-14,-2.52974e-15,3.6851e-15,0,0,119.882,0,0,0
1861,-0.00915947,-0.00915947,0.01861,-1.07778e-14,-2.47109e-15,3.54408e-15,0,0,120.045,0,0,0
1870.44,-0.00920649,-0.00920649,0.0187044,-1.05498e-14,-2.22955e-15,3.45944e-15,0,0,120.211,0,0,0
1881,-0.00925907,-0.00925906,0.01881,-1.04907e-14,-2.81015e-15,3.98866e-15,0,0,120.379,0,0,0
1891,-0.00930887,-0.00930887,0.01891,-9.82482e-15,-2.77424e-15,3.67541e-15,0,0,120.541,0,0,0
1901,-0.00935867,-0.00935867,0.01901,-9.99973e-15,-2.69044e-15,2.76434e-15,0,0,120.704,0,0,0
1910.45,-0.00940574,-0.00940573,0.0191045,-1.01708e-14,-2.52186e-15,2.92362e-15,0,0,120.868,0,0,0
1921,-0.00945827,-0.00945827,0.01921,-1.00433e-14,-2.40113e-15,2.57989e-15,0,0,121.033,0,0,0
1931,-0.00950808,-0.00950808,0.01931,-1.02633e-14,-2.45605e-15,3.33801e-15,0,0,121.194,0,0,0
1941,-0.00955788,-0.00955788,0.01941,-1.0847e-14,-2.2591e-15,3.07478e-15,0,0,121.357,0,0,0
1951,-0.00960768,-0.00960768,0.01951,-1.01885e-14,-1.86032e-15,2.62607e-15,0,0,121.52,0,0,0
1961,-0.00965749,-0.00965748,0.01961,-1.06424e-14,-1.41668e-15,2.35128e-15,0,0,121.682,0,0,0
